Epoca,Loss_Train,Accuracy_Train,Loss_Test,Accuracy_Test
1,4.5182,36.67,1.3431,44.27
2,1.3572,47.09,1.231,52.57
3,1.2656,50.77,1.1866,53.16
4,1.2585,52.25,1.1969,54.55
5,1.1659,55.72,1.1175,57.71
6,1.1643,55.47,1.0065,63.64
7,1.1044,57.23,1.2103,55.73
8,1.0922,58.42,1.1164,61.66
9,1.0424,61.54,0.989,64.23
10,1.087,59.47,1.0656,60.28
11,1.0289,61.47,0.9942,65.02
12,0.9887,61.68,1.1265,59.09
13,0.9695,63.19,0.9931,61.86
14,0.9147,64.04,0.9112,67.39
15,0.8715,66.18,1.0478,64.23
16,0.8974,66.35,0.9554,67.19
17,0.8385,67.51,0.9815,66.6
18,0.8374,69.33,0.9402,69.17
19,0.7787,69.12,0.9814,67.59
20,0.7739,70.56,0.9679,66.8
21,0.7159,72.74,0.9304,67.98
22,0.7425,71.16,0.9024,70.36
23,0.7075,72.07,0.912,70.75
24,0.7175,73.61,0.8825,71.34
25,0.7251,73.02,0.865,69.57
26,0.7085,72.81,0.8628,71.94
27,0.6693,74.28,0.864,70.55
28,0.6787,73.58,0.8748,72.13
29,0.6293,74.56,0.9131,71.34
30,0.6765,73.47,0.8818,71.15
31,0.6668,73.58,0.8384,72.53
32,0.6177,76.35,0.8553,71.15
33,0.6237,74.88,0.8713,72.13
34,0.6463,75.51,0.8593,69.76
35,0.6151,76.49,0.8394,72.13
36,0.6242,77.05,0.8255,72.73
37,0.6127,76.11,0.8422,71.94
38,0.606,77.16,0.8478,73.52
39,0.6005,77.47,0.8343,73.72
40,0.6071,76.88,0.8515,72.92
41,0.5959,77.3,0.8418,72.53
42,0.5857,76.95,0.8233,72.73
43,0.6245,76.98,0.8465,72.13
44,0.6216,76.49,0.8309,73.52
45,0.6,76.04,0.8533,72.53
46,0.6111,77.19,0.855,74.11
47,0.5942,77.12,0.848,71.94
48,0.6202,76.7,0.8321,73.32
49,0.5769,77.12,0.8321,72.73
50,0.5704,77.51,0.8317,72.53
51,0.5726,78.11,0.8425,73.12
52,0.5784,77.89,0.8557,73.72
53,0.5717,78.81,0.8278,73.72
54,0.5817,78.28,0.8376,72.92
55,0.5697,78.46,0.8464,72.53
56,0.5879,76.84,0.8386,72.13
57,0.5988,77.19,0.861,72.53
58,0.5581,78.11,0.8344,73.52
59,0.5941,77.19,0.8397,72.53
60,0.6004,77.68,0.8502,73.32
